Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Phone Number,Contact Email,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Match Group,https://www.crunchbase.com/organization/match-group,,"Dating, Internet, Mobile Apps, Social Media","Dallas, Texas, United States",Match Group is a division of IAC &and online dating portfolio that comprises over forty brands around the world.,"1,270","Dallas/Fort Worth Metroplex, Southern US",,"Hispanic / Latine Founded, Women Founded, Women Led",$1B to $10B,Active,1995-01-01,year,2015-11-18,day,,,For Profit,https://mtch.com,,https://www.linkedin.com/company/matchgroup,214-576-9352,info@iac.com,,,4,4,2,3,2,,,,,"Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Software",1,Fran Maier,1001-5000,1,IPO,2024-07-15,,,,Post-IPO Equity,,,,Post-IPO Equity,,,,,,,Starboard Value,1,1,9,Made Acquisitions,,,,,,,,,,,,Public,2015-11-18,,,400000000,USD,400000000,2900000000,USD,2900000000,MTCH,https://www.crunchbase.com/ipo/match-group-ipo--e7a49d49,NASDAQ,5.1,9,26,43,,Legal services
Pathway,https://www.crunchbase.com/organization/pathway,,"Analytics, Artificial Intelligence (AI), Software","Menlo Park, California, United States",Pathway is a software development company that develops AI systems and provides data processing engine.,"1,374","San Francisco Bay Area, Silicon Valley, West Coast",94025,"Women Founded, Women Led",$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.pathway.com,,https://linkedin.com/company/pathway,,contact@pathway.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",5,"Adrian Kosowski, Claire Nouet, Jan Chorowski, Victor Szczerba, Zuzanna Stamirowska",11-50,3,Seed,2024-10-09,10000000,USD,10000000,Seed,10000000,USD,10000000,Seed,14500000,USD,14500000,14500000,USD,14500000,"Inovo.vc, TQ Ventures, Kadmos Capital, Id4 ventures, Market One Capital",3,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.4,27,0,1,,Scientific and electric apparatus and instruments
Okta,https://www.crunchbase.com/organization/okta,,"CRM, Enterprise Software, Identity Management, IT Infrastructure, Management Information Systems, Software, Web Development","San Francisco, California, United States",Okta is a management platform that secures critical resources from cloud to ground for workforce and customers.,"1,671","San Francisco Bay Area, West Coast, Western US",94105,,$1B to $10B,Active,2009-01-01,day,2017-04-06,day,,,For Profit,http://www.okta.com,http://www.facebook.com/oktaidentity,https://www.linkedin.com/company/okta-inc-,888-722-7871,press@okta.com,,,2,2,1,,,,,,,"Information Technology, Privacy and Security, Sales and Marketing, Software",5,"Frederic Kerrest, Frédéric Kerrest, Isabel Schoeps Thiel, Stan Kreydin, Todd McKinnon",5001-10000,9,IPO,2020-06-08,1000000000,USD,1000000000,Post-IPO Equity,1000000000,USD,1000000000,Post-IPO Equity,1228500000,USD,1228500000,1229250000,USD,1229250000,"Andreessen Horowitz, Sequoia Capital, Khosla Ventures, Floodgate, Greylock",3,17,9,Made Acquisitions,,,,,,,,,,,,Public,2017-04-06,,,187000000,USD,187000000,1500000000,USD,1500000000,OKTA,https://www.crunchbase.com/ipo/okta-ipo--dcff0d50,NASDAQ,0.3,14,102,34,,Scientific and technological services
Stellar,https://www.crunchbase.com/organization/stellar-58db,,"Automotive, Internet, Software, Telecommunications","Bordeaux, Aquitaine, France",Stellar is a telecommunications company that integrates multiple networks for connectivity.,"2,385","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2021-05-05,day,,,,,For Profit,https://www.stellar.tc,https://www.facebook.com/stellar.tc,https://www.linkedin.com/company/stellartc,,info@stellar.tc,,,,,,,,,,,,"Hardware, Internet Services, Software, Transportation",3,"Anela Boese, Damien Garot, Hassan Aouisse",11-50,3,Seed,2024-10-08,6800000,EUR,7463334,Seed,6800000,EUR,7463334,Seed,6800000,EUR,7463334,9300000,EUR,10137062,"Primo Capital, European Union, Elewit, Alchimia Investments, Région Nouvelle-Aquitaine",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.6,10,0,4,,Telecommunications
Eden,https://www.crunchbase.com/organization/eden,,"Human Resources, IT Management, SaaS, Software","San Francisco, California, United States",All-in-one Flexible Workplace tools built so you can work wonders.,"2,607","San Francisco Bay Area, West Coast, Western US",94103,,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://www.edenworkplace.com,https://www.facebook.com/edenworkplace/,https://www.linkedin.com/company/edenworkplace/,,support@edenworkplace.com,,,,,,,,,,,,"Administrative Services, Information Technology, Software",3,"Guy Morita, Joe Du Bey, Kyle Wilkinson",51-100,6,Early Stage Venture,2020-03-03,28000000,USD,28000000,Series B,28000000,USD,28000000,Series B,68000000,USD,68000000,68000000,USD,68000000,"Y Combinator, Bessemer Venture Partners, Plug and Play, Index Ventures, Quiet Capital",5,35,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,5.3,21,0,0,,Scientific and electric apparatus and instruments
Optimum,https://www.crunchbase.com/organization/optimum-34e3,,"Blockchain, Decentralized Finance (DeFi), Web3",,"Optimum constitutes a decentralized, high-performance memory infrastructure tailored for use across various blockchains.","2,949",,,,,Active,2024-01-01,year,,,,,For Profit,https://www.getoptimum.xyz/,,https://www.linkedin.com/company/get-optimum/,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Internet Services, Other",,,11-50,2,Seed,2025-04-15,11000000,USD,11000000,Seed,11000000,USD,11000000,Seed,11000000,USD,11000000,11000000,USD,11000000,"CMT Digital, Robot Ventures, Triton Capital, Blockdaemon, Chorus One",1,46,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.8,,,,,
Capsule,https://www.crunchbase.com/organization/capsule-3,,"Health Care, Pharmaceutical, Retail","New York, New York, United States",Capsule is a healthcare technology business rebuilding the pharmacy from the inside out,"3,105","Greater New York Area, East Coast, Northeastern US",10007,,$100M to $500M,Active,2016-05-01,month,,,,,For Profit,https://capsule.com/,http://www.facebook.com/capsulecares,https://www.linkedin.com/company/capsule-co/,(212)675-3900,help@capsulecares.com,,,,,,,,,,,,"Commerce and Shopping, Health Care",1,Eric Kinariwala,501-1000,5,Late Stage Venture,2021-04-28,300000000,USD,300000000,Series D,300000000,USD,300000000,Series D,570000000,USD,570000000,570000000,USD,570000000,"Thrive Capital, TCV, G Squared, Glade Brook Capital Partners, Sound Ventures",4,24,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.4,7,0,4,,Advertising; business
Comet,https://www.crunchbase.com/organization/comet-ml,,"Artificial Intelligence (AI), Developer Tools, Machine Learning, Software","New York, New York, United States","Comet allows data scientists to automatically track their datasets, code changes, experimentation history, and production models.","3,495","Greater New York Area, East Coast, Northeastern US",10003-1502,,$10M to $50M,Active,2017-01-01,year,,,,,For Profit,http://www.comet.com,https://www.facebook.com/cometdotml/,https://www.linkedin.com/company/comet-ml/,,support@comet.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Gideon Mendels, Nimrod Lahav",51-100,5,Early Stage Venture,2021-11-18,50000000,USD,50000000,Series B,50000000,USD,50000000,Series B,69800000,USD,69800000,69800000,USD,69800000,"Techstars, Amazon Alexa Fund, Two Sigma Ventures, Founders' Co-op, Scale Venture Partners",4,10,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.3,3,1,2,,Scientific and technological services
Fleequid,https://www.crunchbase.com/organization/fleequid,,"Auctions, E-Commerce Platforms, Marketplace","Olgiate Comasco, Lombardia, Italy","Fleequid connects passenger transport operators across Europe with a smart, simple, and transparent vehicle rental platform.","3,826","European Union (EU), Europe, Middle East, and Africa (EMEA)",22077,,,Active,2024-01-01,year,,,,,For Profit,https://fleequid.com/en,,https://www.linkedin.com/company/fleequid/,+39 0287176063,info@fleequid.com,,,,,,,,,,,,"Commerce and Shopping, Internet Services",,,11-50,1,Seed,2025-05-14,3000000,EUR,3370154,Seed,3000000,EUR,3370154,Seed,3000000,EUR,3370154,3000000,EUR,3370154,"FJ Labs, DFF Ventures, Silence VC, Jack Greco",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.9,,0,2,,Scientific and electric apparatus and instruments
Anima,https://www.crunchbase.com/organization/anima-a04f,,"Health Care, Medical, mHealth, Mobile Apps","San Francisco, California, United States",The next generation care enablement platform,"5,127","San Francisco Bay Area, West Coast, Western US",,,,Active,2021-01-01,year,,,,,For Profit,https://www.animahealth.com,https://www.facebook.com/AnimaHealthInc/,https://www.linkedin.com/company/anima-health,,,,,,,,,,,,,,"Apps, Health Care, Mobile, Software",2,"Rachel Mumford, Shun Pang",11-50,4,Early Stage Venture,2024-03-19,12000000,USD,12000000,Series A,12000000,USD,12000000,Series A,14625000,USD,14625000,14625000,USD,14625000,"Y Combinator, Hummingbird Ventures, Molten Ventures, Amino Collective, Sidar Sahin",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.2,10,,,,
