name,domain
Beaconforce,www.prova.com
VODIVÌ,www.prova.com
Project “Q”,www.prova.com
Green Motion,www.prova.com
HelParkinson,www.prova.com
Noward,www.prova.com
Tweegs,www.prova.com
Nides,www.prova.com
Azienda green,www.prova.com
NutriX,www.prova.com
Kellify,www.prova.com
Galleria Templari,www.prova.com
Progetto Solenica,www.prova.com
SurgiFET,www.prova.com
RG Yacth,www.prova.com
Kazed,www.prova.com
Progetto Photolife,www.prova.com
Pjt. Emerald,www.prova.com
Ardesia,www.prova.com
Optorad,www.prova.com
Scambiatore di calore,www.prova.com
Sinter,www.prova.com
Tuborx,www.prova.com
Multi rolls,www.prova.com
MuITA,www.prova.com
Dorian,www.prova.com
Dopet,www.prova.com
Isolpharm,www.prova.com
Progetto Profileria,www.prova.com
Carosio,www.prova.com
Bodoardo,www.prova.com
Battipede,www.prova.com
Belingardi,www.prova.com
Tresso,www.prova.com
Tamborrini,www.prova.com
Surace,www.prova.com
Simonetti,www.prova.com
Sethi,www.prova.com
Riggio,www.prova.com
Quaglia,www.prova.com
Lamberti,www.prova.com
Janner,www.prova.com
Ferraresi,www.prova.com
Fantilli,www.prova.com
Delprete,www.prova.com
Principi Milano,www.prova.com
Welcome global,www.prova.com
Spirugrow,www.prova.com
Talentplayers.com,www.prova.com
Bluepillow ,www.prova.com
AdvisorEat,www.prova.com
Zak Pak,www.prova.com
Busforfun,www.prova.com
GaiaGo,www.prova.com
Enjoy Experience,www.prova.com
Insect,www.prova.com
Intermedia drones,www.prova.com
MusicAll,www.prova.com
My Plant,www.prova.com
MyViù,www.prova.com
Remembrane,www.prova.com
Progetto Bio Res,www.prova.com
Orobix,www.prova.com
HOAU,www.prova.com
Bazaar,www.prova.com
FlexyDrive,www.prova.com
Euclidea,www.prova.com
Relicta ,www.prova.com
Rechallenger.com,www.prova.com
SoftMining,www.prova.com
HEKTROS,www.prova.com
Genoa Instruments,www.prova.com
BooleBox,www.prova.com
Influshare,www.prova.com
Pay2cart,www.prova.com
ACBC,www.prova.com
EnSea,www.prova.com
ErmesLab,www.prova.com
HUBI-Mosquito,www.prova.com
MoCa Future Designers,www.prova.com
MORFO DESIGN,www.prova.com
NetralMec,www.prova.com
NOiBS-TLC,www.prova.com
Relief,www.prova.com
Relitec,www.prova.com
Startart,www.prova.com
VINE40CAST,www.prova.com
Wanderoo,www.prova.com
Well-FARE,www.prova.com
Balance,www.prova.com
CivilEngine,www.prova.com
Bluebiloba,www.prova.com
BeWize,www.prova.com
Barriera Antiterrorismo Mobile,www.prova.com
Dottore Online,www.prova.com
AR Market,www.prova.com
Verso Technology ,www.prova.com
MYVIP,www.prova.com
Alcoolique,www.prova.com
Leaf,www.prova.com
Adatravel,www.prova.com
Progetto Alzheimer’s,www.prova.com
Lucagiù,www.prova.com
Better Together,www.prova.com
Progetto Giovanni Salvarani,www.prova.com
Ambornetti,www.prova.com
MilanoBike,www.prova.com
Bestshopping.com,www.prova.com
Pipeline,www.prova.com
Phlay project,www.prova.com
GlassUp2,www.prova.com
Jungle ,www.prova.com
 Doctor Hail,www.prova.com
Flowtech,www.prova.com
Weedster,www.prova.com
Sweetguest,www.prova.com
Two Italian Boys,www.prova.com
Cerealfit,www.prova.com
Ultra-Performing Photovoltaic Modules using an Innovative Retrofitting,www.prova.com
GEMMA – Green and Eco-sustainable Materials MAnagement,www.prova.com
GEDY TRASS - Gear Dynamics Transmission Analysis,www.prova.com
"RF-MEMS: a Technology Enabler for IoT, Manufacturing 4.0 and Aerospace Applications",www.prova.com
Development of bioadsorbable Mg-alloy implants coated with Plasma Electrolytic Oxidation Process,www.prova.com
Direct laser writing of textile fibers to selectively induce electrical conductivity,www.prova.com
Mandibular motion monitoring and rehabilitation by low cost kinesiography,www.prova.com
Enhanced microforming by means of Electroplastic Effect,www.prova.com
"U-CARE, Medical device for Urine Output monitoring for prediction of Acute Kidney Injury",www.prova.com
DARK PLASTIC SELECTOR,www.prova.com
Direct Online Water Sensor for the Environment - DOWSE,www.prova.com
RETHInK - New generation bonded Rare Earth magneTs recycled from Hard dIsKs,www.prova.com
ForMICA-For Managing Information & Connecting Archives,www.prova.com
Design and construction of a new generation of Separation Machines,www.prova.com
Design and construction of HAP: an automatic Harvester for Apples and Pears,www.prova.com
Venous Pulse Wave Velocity,www.prova.com
Audio Rehab Kit for Blind Children ,www.prova.com
MINdSWAP (Morphing wINg calculation-Software for Wind-energy APplication) ,www.prova.com
INNOVATIVE PRODUCTION PROCESS FOR SOLID COMPOSITE PROPELLANT MANUFACTURING BASED ON DEPOSITION AND NEW POLIMERIZATION PROCEDURE,www.prova.com
SynDiag - AI for augmented Ultrasounds,www.prova.com
Innovative surface treatments for injection molds,www.prova.com
Development of indoor/outdoor smart devices for the improvement of people's safety in ordinary and emergency conditions,www.prova.com
MACLOC – IOT for rehabilitation and training in sport climbing,www.prova.com
Merlino - the caretaker ,www.prova.com
EndoRo: Endoscopic Robotics,www.prova.com
Closed - Loop Control of the Injected Mass in Modern Common Rail Diesel Engines,www.prova.com
SEM (Speech and Sound SEMaphore) - The system that makes noise light ,www.prova.com
Amed,www.prova.com
Lingue Migranti,www.prova.com
Saleshub,www.prova.com
Progetto Birreria,www.prova.com
Tralcio,www.prova.com
Radoff,www.prova.com
Progetto_Sabbatella,www.prova.com
Easy Eat ,www.prova.com
RI_CREA,www.prova.com
Checkout Technologies,www.prova.com
Progetto_Mr.Rissone,www.prova.com
Sociallibreria,www.prova.com
Govolt,www.prova.com
Innovative Technology to Drive & Control Brushless Motors for Aerial Applications,www.prova.com
Design and construction of pilot plant for gold recovery from PCBs,www.prova.com
Torodyna,www.prova.com
Micro-cogeneration unit based on the ORC technology,www.prova.com
ARETHA - Augmented Reality Heritage,www.prova.com
Pouch cell sealing method for dye-sensitized solar cells and their easy integration with supercapacitor,www.prova.com
Novel Multidirectional Perfusion Cannula,www.prova.com
PROTESO - Personal Protective Exoskeletons,www.prova.com
Innovative wound compressive devices for optimized scar functionality and aesthetics,www.prova.com
SR,www.prova.com
Construction of a plant for deep wood processing,www.prova.com
K4P,www.prova.com
Transactionale/Marlene,www.prova.com
GrapheneUP,www.prova.com
Pandhora,www.prova.com
Audio Rehab Kit for Blind Children,www.prova.com
SetaCHARme,www.prova.com
VENUS-ROBOT-SWARM:  intelligence and distributed perception  in  underwater environment,www.prova.com
NuclideApp,www.prova.com
NWOA,www.prova.com
Efficient DNA/Cas9 delivery into human Organoids,www.prova.com
Trace Research Centre,www.prova.com
"Oper.AI, Perform a sustainable work for a sustainable company",www.prova.com
