ID,Data primo contatto,Data documentazione ,Progetto/Società,Itala/Estero,Città,Regione,Persona di riferimento Fondo,Originator,Tipo originator,Documentazione ,Settori AIFI,Settori EVCA,Stadio di sviluppo,Organsimo di Ricerca,"Fondo di competenza
(assegnazione originaria)","Fondo di competenza
(riassegnazione)",Data Meeting,Note 
1,2017-10-09 00:00:00.000,2017-10-15 00:00:00,Iotty,Italia,Bologna,Emilia Romagna,Amedeo Giurazza,Francesco Pellone,Dottore commercialista,Congrua,ICT,Consumer electronics,Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2017-10-19,
2,2017-10-05 00:00:00.000,2017-10-05 00:00:00,Ry Gold Zip,Italia,Cosenza,Calabria,,Aniello D'Auria,Altri,Congrua,Biotech,Pharmaceuticals and drug delivery,Proof of concept,Università della Calabria,Vertis Venture 3 Technology Transfer,,2017-10-12,
3,2017-10-10 00:00:00.000,2020-03-04 00:00:00,Neuron Guard,Italia,Modena,Emilia Romagna,Giacomo Giurazza,Ubaldo Soligno (EY),Società di revisione,Congrua,Med-Tech,Medical devices and supplies,Seed,Università degli studi di Modena e Reggio Emilia,Vertis Venture 3 Technology Transfer,,2020-03-06,"Il 30/11/2017, progetto ""non compliant con i regolamenti"". Viene assegnato a VV3 il 05/03/2020 in seguito ad aggiornamento della doc. inviata dalla quale emerge presenza di OdR"
4,2017-10-05 00:00:00.000,2017-10-05 00:00:00,MAMA TEST,Italia,Vico Equense,Campania,Paolo Santoro,,Proprietaria,Congrua,Biotech,Biotechnology,Seed,Università di Salerno,Vertis Venture 3 Technology Transfer,,2017-10-12,
5,2017-10-10 00:00:00.000,2017-10-10 00:00:00,Reios,Italia,Novara,Piemonte,Mauro Odorico,Avv. Pierantonio Luceri,Altri,Congrua,Industrial Goods,"Industrial measurement, sensing and control",Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2017-10-12,
6,2017-10-16 00:00:00.000,2017-10-16 00:00:00,Mukako,Italia,Milano,Lombardia,Nicola Redi,,Proprietaria,Congrua,Digital & Media,Internet technologies,Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-10-19,
7,2017-10-16 00:00:00.000,2017-10-16 00:00:00,Progetto_Kon,Italia,n.a.,n.a.,,,Autocandidatura,Congrua,ICT,Computer related services: other,Private Equity,Assente,Non compliant con i Regolamenti ,,2017-10-19,
8,2017-10-16 00:00:00.000,,Catch promotion,Italia,Bergamo,Lombardia,,,Autocandidatura,Non congrua,,,,,Rigettato per documentazione mancante dopo sollecito,,2017-11-23,
9,2017-10-17 00:00:00.000,,Progetto Paolo Citterio,Italia,Milano,Lombardia,,,Autocandidatura,Non congrua,,,,,Rigettato per documentazione mancante dopo sollecito,,2017-11-23,
10,2017-10-17 00:00:00.000,2017-10-17 00:00:00,Seeking Care,Italia,Pavia,Lombardia,,,Autocandidatura,Congrua,Digital & Media,Healthcare: other,Proof of concept,Assente,Non compliant con i Regolamenti ,,2017-10-19,
11,2017-10-18 00:00:00.000,2017-10-18 00:00:00,Domec,Italia,Milano,Lombardia,Amedeo Giurazza,Giovanni Pinelli ,Advisor,Congrua,Services,Business related software,Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-10-19,
12,2017-10-18 00:00:00.000,2017-10-18 00:00:00,Itimes,Italia,Angri,Campania,,Rosario Corrado Mancino (CM Advisor),Advisor,Congrua,Digital & Media,Internet technologies,Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2017-10-19,
13,2017-10-18 00:00:00.000,2017-10-18 00:00:00,DeepWave,Estero,Chicago,Stati Uniti,Amedeo Giurazza,Franco Cortese,Autocandidatura,Congrua,Med-Tech,Biotechnology,Seed,Assente,Non compliant con i Regolamenti ,,2017-10-19,Extra territorio di competenza fondo VV3
14,2017-10-18 00:00:00.000,2017-10-18 00:00:00,Social Nation,Italia,Milano,Lombardia,,"Cristina Bini 
(FII/CDP)",Investitori professionali,Congrua,Digital & Media,Computer related services: other,Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2017-10-19,
15,2017-10-18 00:00:00.000,2017-10-18 00:00:00,Caciocavalloimpiccato,Italia,Roma,Lazio,Amedeo Giurazza,,Autocandidatura,Congrua,Agro-food,Agriculture: other,Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2017-10-19,
16,2017-10-20 00:00:00.000,2017-10-20 00:00:00,Xceed,Italia,Milano,Lombardia,Mauro Odorico,Nader Sabbaghian (360 Capital Partners),Investitori professionali,Congrua,Digital & Media,Internet technologies,Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-10-26,
17,2017-10-20 00:00:00.000,2017-10-20 00:00:00,Progetto Daniele Cortolezzis,Italia,Gorizia,Friuli Venezia Giulia,Roberto della Marina,,Proprietaria,Congrua,Agro-food,Crop cultivation,Proof of concept,CREA di Gorizia,Vertis Venture 3 Technology Transfer,,2017-10-26,
18,2017-10-20 00:00:00.000,2017-10-20 00:00:00,Papem,Italia,Palermo,Sicilia,Giulio Valiante,,Proprietaria,Congrua,Digital & Media,Internet technologies,Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-10-26,
19,2017-10-20 00:00:00.000,2017-10-31 00:00:00,Caldo caldo,Italia,n.a.,n.a.,Renato Vannucci,,Proprietaria,Congrua,Agro-food,Consumer products manufacturing,Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2017-11-02,
20,2017-10-20 00:00:00.000,2017-10-20 00:00:00,Strategic Education Group,Italia,Roma,Lazio,Amedeo Giurazza,,Proprietaria,Congrua,Services,Educational and training products/services,Private Equity,Assente,Private Equity,,2017-10-26,
21,2017-10-23 00:00:00.000,2017-10-23 00:00:00,Soundreef,Italia,Roma,Lazio,Mauro Odorico,,Proprietaria,Congrua,Services,Business and industrial services,Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-10-26,
22,2017-10-23 00:00:00.000,,Osteria italia,Italia,Firenze,Toscana,,Daniela Delsordo,Autocandidatura,Non congrua,,,,,Rigettato per documentazione mancante dopo sollecito,,2018-01-04,
23,2017-10-24 00:00:00.000,2017-10-31 00:00:00,Quibee,Italia,Torino,Piemonte,Nicola Redi,,Proprietaria,Congrua,Digital & Media,Internet technologies,Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2017-11-02,
24,2017-10-23 00:00:00.000,2017-10-23 00:00:00,Ono 3D,Estero,San Francisco,Stati Uniti,Mauro Odorico,,Proprietaria,Congrua,Industrial Goods,"Industrial measurement, sensing and control",Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-10-26,Sede anche a Roma 
25,2017-10-24 00:00:00.000,2017-10-24 00:00:00,The Grand House,Italia,Roma,Lazio,,"Cristina Bini 
(FII/CDP)",Investitori professionali,Congrua,Services,Internet technologies,Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2017-10-26,
26,2017-10-25 00:00:00.000,2017-10-25 00:00:00,BizSpace,Italia,Milano,Lombardia,,Nicolò Muzzana (Thymosbc),Advisor,Congrua,Services,Internet technologies,Seed,Assente,Non compliant con i Regolamenti ,,2017-10-26,
27,2017-10-25 00:00:00.000,2017-10-25 00:00:00,Winelivery,Italia,Milano,Lombardia,,Paolo Intermite (Nem SGR),Investitori professionali,Congrua,Services,Consumer services: other,Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-10-26,
28,2017-10-25 00:00:00.000,2017-10-25 00:00:00,Bjp,Italia,Milano,Lombardia,Giulio Valiante,,Proprietaria,Congrua,Services,Consumer services: other,Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-10-26,
29,2017-10-25 00:00:00.000,2017-10-25 00:00:00,Xoko,Italia,Napoli,Campania,Amedeo Giurazza,Gennaro Tesone (Digital Magics),Investitori professionali,Congrua,Digital & Media,Internet technologies,Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-10-26,
30,2017-10-26 00:00:00.000,2020-05-08 00:00:00,Pick-Roll,Italia,Roma,Lazio,,Dario Ferretti,Autocandidatura,Congrua,Digital & Media,Internet technologies,Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2020-05-14,Progetto rigettato il 04/01/2018 per mancanza di documentazione dopo sollecito. Viene riassegnato il 14/05/2020 in seguito all'invio di nuova documentazione.
31,2017-10-25 00:00:00.000,2017-11-14 00:00:00,3DnA,Italia,Napoli,Campania,Renato Vannucci,Fabio d'Andria (Panafin),Advisor,Congrua,Services,Software: other,Start-up stage\Venture,Assente,Vertis Venture 2 Scaleup,,2017-11-17,
32,2017-10-19 00:00:00.000,2017-10-19 00:00:00,Bookingbility,Italia,Palermo,Sicilia,Renato Vannucci,Gennaro Tesone (Digital Magics),Investitori professionali,Congrua,Services,Internet technologies,Other early stage\Late stage,ARCA di Palermo,Vertis Venture 3 Technology Transfer,,2017-11-02,
33,2017-10-23 00:00:00.000,2017-10-23 00:00:00,GymCraft,Estero,Malaga,Spagna,Giulio Valiante,Riccardo Fisogni,Advisor,Congrua,Digital & Media,Internet technologies,Other early stage\Late stage,Assente,Vertis Venture 2 Scaleup,,2017-11-02,
34,2017-10-30 00:00:00.000,2017-10-30 00:00:00,CHT,Italia,Rende,Calabria,Salvatore Panico,,Proprietaria,Congrua,Med-Tech,Medical devices and supplies,Seed,Università della Calabria,Vertis Venture 3 Technology Transfer,,2017-11-02,
35,2017-10-30 00:00:00.000,2017-10-30 00:00:00,FLEHAP,Italia,Genova,Liguria,Salvatore Panico,,Proprietaria,Congrua,Clean Tech,Alternative energy,Proof of concept,Università degli Studi di Genova,Vertis Venture 3 Technology Transfer,,2017-11-02,
36,2017-10-30 00:00:00.000,2017-10-30 00:00:00,Progetto d'Angelo,Italia,Bari,Puglia,Salvatore Panico,,Proprietaria,Congrua,Industrial Goods,Business and industrial products,Proof of concept,Università degli Studi di Bari Aldo Moro,Vertis Venture 3 Technology Transfer,,2017-11-02,
